customer_id,segment_name,recency_days,frequency_180d,monetary_180d,ticket_count_90d,return_rate_180d,avg_discount_pct_180d
CUST00076,Loyal Customers,20,2.0,1385.27,0.0,0.0,0.22000000000000003
CUST00077,About to Churn,109,1.0,394.32,0.0,0.0,0.36
CUST00078,Dormant,139,1.0,894.45,1.0,1.0,0.42
CUST00079,Dormant,191,0.0,0.0,0.0,0.0,0.0
CUST00080,About to Churn,50,1.0,1461.68,0.0,0.0,0.11
CUST00081,High-Value Unhappy,19,5.0,3417.3199999999997,3.0,0.0,0.202
CUST00082,Dormant,254,0.0,0.0,0.0,0.0,0.0
CUST00083,At-Risk,89,2.0,806.87,1.0,0.5,0.33499999999999996
CUST00084,Dormant,167,1.0,1273.18,0.0,0.0,0.12
CUST00085,New Customers,14,1.0,1257.8,0.0,0.0,0.2
CUST00086,High-Value Unhappy,21,4.0,1741.15,1.0,0.0,0.2675
CUST00087,Discount-Sensitive,44,1.0,933.58,0.0,0.0,0.38
CUST00088,At-Risk,98,2.0,1169.14,1.0,0.0,0.43
CUST00089,Dormant,165,1.0,1513.5,0.0,0.0,0.4
CUST00090,High-Value Unhappy,80,4.0,1966.31,1.0,0.0,0.375
CUST00091,Discount-Sensitive,90,1.0,311.34,1.0,0.0,0.36
CUST00092,Discount-Sensitive,21,1.0,430.85,0.0,0.0,0.26
CUST00093,About to Churn,85,1.0,759.64,0.0,0.0,0.12
CUST00094,Dormant,183,0.0,0.0,2.0,0.0,0.0
CUST00095,Discount-Sensitive,65,1.0,372.65,1.0,0.0,0.41
CUST00096,At-Risk,61,2.0,1414.75,1.0,0.5,0.325
CUST00097,High-Value Unhappy,1,3.0,2946.09,2.0,0.0,0.41
CUST00098,Dormant,184,0.0,0.0,1.0,0.0,0.0
CUST00099,Dormant,144,2.0,1471.51,1.0,0.0,0.10500000000000001
CUST00100,Discount-Sensitive,70,1.0,372.37,0.0,0.0,0.29
CUST00101,At-Risk,108,2.0,1240.21,2.0,0.0,0.255
CUST00102,About to Churn,83,1.0,732.65,0.0,0.0,0.16
CUST00103,New Customers,21,1.0,1469.96,0.0,0.0,0.08
CUST00104,About to Churn,93,1.0,955.63,0.0,0.0,0.31
CUST00105,About to Churn,46,1.0,2052.43,0.0,0.0,0.18
CUST00106,About to Churn,61,1.0,436.15,1.0,0.0,0.24
CUST00107,Loyal Customers,12,2.0,1658.13,0.0,0.0,0.125
CUST00108,About to Churn,44,1.0,1074.5,1.0,1.0,0.22
CUST00109,At-Risk,92,2.0,1622.28,0.0,0.0,0.255
CUST00110,High-Value Unhappy,35,3.0,2424.8,2.0,0.0,0.2333333333333333
CUST00111,Dormant,178,1.0,1135.09,0.0,0.0,0.23
CUST00112,High-Value Unhappy,0,4.0,2225.98,1.0,0.0,0.3
CUST00113,Loyal Customers,28,2.0,1601.31,0.0,0.0,0.385
CUST00114,Dormant,239,0.0,0.0,1.0,0.0,0.0
CUST00115,Dormant,159,1.0,596.54,1.0,0.0,0.14
CUST00116,Dormant,143,1.0,452.08,0.0,0.0,0.27
CUST00117,Dormant,123,2.0,1268.88,0.0,0.0,0.28
CUST00118,New Customers,27,1.0,689.56,0.0,0.0,0.18
CUST00119,High-Value Unhappy,69,1.0,2019.98,1.0,0.0,0.25
CUST00120,New Customers,26,1.0,261.95,0.0,0.0,0.27
CUST00121,High-Value Unhappy,27,2.0,2496.0299999999997,0.0,0.0,0.19
CUST00122,At-Risk,106,2.0,2048.93,0.0,0.0,0.36
CUST00123,High-Value Unhappy,102,4.0,2117.52,3.0,0.0,0.33499999999999996
CUST00124,Dormant,194,0.0,0.0,0.0,0.0,0.0
CUST00125,Loyal Customers,8,2.0,1698.4,0.0,0.0,0.395
CUST00126,Discount-Sensitive,57,1.0,919.95,0.0,0.0,0.6
CUST00127,Discount-Sensitive,24,2.0,729.55,0.0,0.0,0.29500000000000004
CUST00128,Loyal Customers,19,2.0,1716.68,0.0,0.0,0.42000000000000004
CUST00129,High-Value Unhappy,83,3.0,3369.08,2.0,0.3333333333333333,0.3133333333333333
CUST00130,At-Risk,88,1.0,1272.47,0.0,0.0,0.48
CUST00131,High-Value Unhappy,67,1.0,2157.15,0.0,0.0,0.17
CUST00132,At-Risk,117,1.0,1621.76,0.0,0.0,0.18
CUST00133,High-Value Unhappy,54,6.0,4776.26,1.0,0.0,0.365
CUST00134,High-Value Unhappy,35,2.0,1527.1100000000001,3.0,0.5,0.3
CUST00135,Dormant,333,0.0,0.0,0.0,0.0,0.0
CUST00136,Discount-Sensitive,71,1.0,514.9,0.0,0.0,0.3
CUST00137,Dormant,177,2.0,1035.87,0.0,0.0,0.315
CUST00138,Discount-Sensitive,61,1.0,905.11,0.0,0.0,0.46
CUST00139,High-Value Unhappy,28,2.0,1715.4,2.0,0.0,0.295
CUST00140,High-Value Unhappy,6,3.0,3416.05,2.0,0.0,0.24666666666666667
CUST00141,About to Churn,28,1.0,647.85,0.0,0.0,0.23
CUST00142,Dormant,169,1.0,369.26,0.0,0.0,0.37
CUST00143,Loyal Customers,32,3.0,4028.8,0.0,0.0,0.14
CUST00144,At-Risk,86,2.0,928.5799999999999,3.0,0.0,0.29500000000000004
CUST00145,About to Churn,30,1.0,502.35,0.0,0.0,0.11
CUST00146,About to Churn,108,1.0,986.21,1.0,0.0,0.31
CUST00147,At-Risk,84,3.0,2809.3199999999997,1.0,0.0,0.18333333333333335
CUST00148,High-Value Unhappy,4,3.0,1990.51,1.0,0.0,0.25
CUST00149,About to Churn,8,1.0,787.94,0.0,0.0,0.2
CUST00150,Loyal Customers,45,2.0,1008.65,0.0,0.0,0.375
CUST00151,High-Value Unhappy,62,3.0,2844.17,3.0,0.0,0.17333333333333334
CUST00152,High-Value Unhappy,46,3.0,2730.26,4.0,0.0,0.3666666666666667
CUST00153,New Customers,3,1.0,977.12,0.0,0.0,0.37
CUST00154,Champions,10,4.0,3935.38,0.0,0.0,0.24
CUST00155,Champions,2,3.0,2024.8,0.0,0.0,0.39666666666666667
CUST00156,High-Value Unhappy,34,2.0,4241.75,1.0,0.5,0.14500000000000002
CUST00157,About to Churn,0,1.0,376.83,1.0,0.0,0.22
CUST00158,Dormant,155,1.0,812.34,0.0,0.0,0.25
CUST00159,Dormant,474,0.0,0.0,0.0,0.0,0.0
CUST00160,Dormant,177,1.0,433.18,1.0,0.0,0.23
CUST00161,Champions,20,3.0,1738.05,0.0,0.0,0.29333333333333333
CUST00162,At-Risk,91,2.0,1194.5900000000001,0.0,0.0,0.29000000000000004
CUST00163,Discount-Sensitive,70,1.0,275.41,0.0,0.0,0.37
CUST00164,Dormant,222,0.0,0.0,1.0,0.0,0.0
CUST00165,At-Risk,103,3.0,1825.77,0.0,0.0,0.31
CUST00166,Discount-Sensitive,15,1.0,1269.41,1.0,0.0,0.37
CUST00167,Dormant,219,0.0,0.0,0.0,0.0,0.0
CUST00168,At-Risk,85,2.0,2194.9300000000003,0.0,0.0,0.01
CUST00169,Dormant,222,0.0,0.0,0.0,0.0,0.0
CUST00170,High-Value Unhappy,9,2.0,1708.2199999999998,1.0,0.0,0.22
CUST00171,New Customers,12,1.0,1077.78,0.0,0.0,0.38
CUST00172,Discount-Sensitive,8,1.0,1366.0,3.0,0.0,0.39
CUST00173,Discount-Sensitive,79,1.0,225.12,1.0,0.0,0.27
CUST00174,Discount-Sensitive,86,1.0,168.97,2.0,0.0,0.42
CUST00175,Loyal Customers,59,2.0,1378.77,1.0,0.0,0.21
CUST00176,Loyal Customers,37,3.0,3830.31,0.0,0.0,0.3433333333333333
CUST00177,Discount-Sensitive,82,1.0,255.04,0.0,0.0,0.42
CUST00178,High-Value Unhappy,5,2.0,1583.88,4.0,1.0,0.165
CUST00179,High-Value Unhappy,38,3.0,1585.62,2.0,0.0,0.44333333333333336
CUST00180,High-Value Unhappy,96,2.0,1570.85,1.0,0.5,0.26
CUST00181,New Customers,6,1.0,1107.73,0.0,0.0,0.0
CUST00182,Discount-Sensitive,31,1.0,305.3,0.0,0.0,0.31
CUST00183,High-Value Unhappy,152,1.0,1689.98,1.0,0.0,0.18
CUST00184,High-Value Unhappy,14,3.0,2456.91,2.0,0.0,0.2866666666666667
CUST00185,At-Risk,114,2.0,866.52,0.0,0.0,0.315
CUST00186,Discount-Sensitive,41,1.0,714.65,1.0,0.0,0.33
CUST00187,Dormant,149,1.0,491.11,1.0,0.0,0.5
CUST00188,High-Value Unhappy,29,2.0,1880.31,3.0,0.0,0.23
CUST00189,Dormant,140,1.0,574.39,3.0,0.0,0.32
CUST00190,About to Churn,6,1.0,482.88,1.0,0.0,0.13
CUST00191,Discount-Sensitive,28,1.0,149.0,0.0,0.0,0.34
CUST00192,Loyal Customers,55,3.0,2263.95,0.0,0.0,0.28
CUST00193,Dormant,157,1.0,424.74,0.0,0.0,0.21
CUST00194,High-Value Unhappy,80,3.0,2967.67,3.0,0.3333333333333333,0.4066666666666667
CUST00195,About to Churn,23,1.0,654.27,1.0,0.0,0.17
CUST00196,Loyal Customers,24,2.0,1272.38,1.0,0.0,0.28
CUST00197,High-Value Unhappy,15,2.0,2989.16,3.0,0.0,0.305
CUST00198,High-Value Unhappy,37,4.0,4324.83,2.0,0.0,0.2725
CUST00199,High-Value Unhappy,6,4.0,3273.56,1.0,0.0,0.22749999999999998
CUST00200,High-Value Unhappy,15,3.0,3726.66,1.0,0.0,0.12333333333333334
CUST00201,About to Churn,93,1.0,598.21,2.0,0.0,0.14
CUST00202,Dormant,141,1.0,1220.26,0.0,0.0,0.33
CUST00203,At-Risk,114,2.0,743.3499999999999,0.0,0.0,0.39
CUST00204,Discount-Sensitive,42,1.0,519.21,0.0,0.0,0.28
CUST00205,Champions,30,3.0,1548.05,0.0,0.0,0.25
CUST00206,At-Risk,118,2.0,831.29,3.0,0.0,0.375
CUST00207,Discount-Sensitive,18,1.0,193.1,0.0,0.0,0.62
CUST00208,High-Value Unhappy,91,4.0,3282.2999999999997,1.0,0.0,0.18
CUST00209,Dormant,279,0.0,0.0,1.0,0.0,0.0
CUST00210,Dormant,128,1.0,409.67,0.0,0.0,0.41
CUST00211,High-Value Unhappy,90,2.0,3032.55,1.0,0.0,0.38
CUST00212,Dormant,204,0.0,0.0,0.0,0.0,0.0
CUST00213,At-Risk,86,1.0,1266.34,2.0,1.0,0.09
CUST00214,At-Risk,64,1.0,1427.16,0.0,0.0,0.22
CUST00215,About to Churn,34,1.0,646.51,1.0,0.0,0.01
CUST00216,Discount-Sensitive,48,1.0,1349.42,1.0,1.0,0.27
CUST00217,At-Risk,79,2.0,861.1800000000001,0.0,0.0,0.36
CUST00218,About to Churn,23,1.0,713.95,0.0,0.0,0.11
CUST00219,Dormant,154,2.0,1225.24,1.0,0.0,0.47
CUST00220,About to Churn,25,2.0,745.67,1.0,0.0,0.19
CUST00221,Discount-Sensitive,7,2.0,781.03,0.0,0.0,0.345
CUST00222,Dormant,186,0.0,0.0,1.0,0.0,0.0
CUST00223,About to Churn,103,1.0,757.58,1.0,0.0,0.53
CUST00224,Discount-Sensitive,89,1.0,747.2,1.0,0.0,0.4
CUST00225,At-Risk,88,2.0,2563.85,0.0,0.0,0.33499999999999996
CUST00226,High-Value Unhappy,54,3.0,2345.42,1.0,0.3333333333333333,0.15666666666666668
CUST00227,Dormant,153,1.0,1070.42,2.0,0.0,0.37
CUST00228,At-Risk,82,3.0,1343.2,2.0,0.0,0.33
CUST00229,About to Churn,92,1.0,558.95,1.0,0.0,0.17
CUST00230,High-Value Unhappy,37,6.0,6235.96,2.0,0.0,0.21833333333333335
CUST00231,Discount-Sensitive,23,1.0,397.92,0.0,0.0,0.29
CUST00232,Discount-Sensitive,55,1.0,786.26,0.0,0.0,0.33
CUST00233,Dormant,361,0.0,0.0,0.0,0.0,0.0
CUST00234,Loyal Customers,17,2.0,1421.1,0.0,0.0,0.135
CUST00235,Dormant,125,1.0,556.26,0.0,0.0,0.34
CUST00236,Discount-Sensitive,62,1.0,782.89,1.0,0.0,0.37
CUST00237,Champions,15,4.0,3607.29,0.0,0.0,0.2525
CUST00238,Discount-Sensitive,78,1.0,643.9,2.0,0.0,0.33
CUST00239,Dormant,320,0.0,0.0,0.0,0.0,0.0
CUST00240,High-Value Unhappy,56,2.0,2277.31,1.0,0.0,0.18
CUST00241,Loyal Customers,6,2.0,2710.9300000000003,0.0,0.0,0.37
CUST00242,At-Risk,82,3.0,2195.42,0.0,0.0,0.31666666666666665
CUST00243,Discount-Sensitive,69,1.0,444.6,1.0,1.0,0.43
CUST00244,Dormant,144,2.0,2449.86,0.0,0.0,0.22499999999999998
CUST00245,At-Risk,73,2.0,1245.78,0.0,0.0,0.36
CUST00246,Loyal Customers,52,2.0,852.1000000000001,1.0,0.0,0.24
CUST00247,Loyal Customers,57,2.0,937.3199999999999,3.0,0.0,0.5
CUST00248,At-Risk,71,3.0,1182.12,0.0,0.0,0.31
CUST00249,Dormant,162,1.0,244.33,0.0,0.0,0.38
CUST00250,Discount-Sensitive,35,1.0,837.19,0.0,0.0,0.3
CUST00251,Discount-Sensitive,41,1.0,966.73,1.0,1.0,0.37
CUST00252,Dormant,190,0.0,0.0,0.0,0.0,0.0
CUST00253,Dormant,191,0.0,0.0,0.0,0.0,0.0
CUST00254,Dormant,183,0.0,0.0,0.0,0.0,0.0
CUST00255,High-Value Unhappy,22,4.0,2792.14,2.0,0.25,0.2
CUST00256,Dormant,181,0.0,0.0,1.0,0.0,0.0
CUST00257,Loyal Customers,55,2.0,1042.47,0.0,0.0,0.3
CUST00258,High-Value Unhappy,42,3.0,2284.5,1.0,0.0,0.33
CUST00259,Dormant,192,0.0,0.0,0.0,0.0,0.0
CUST00260,Loyal Customers,2,2.0,1820.81,0.0,0.0,0.395
CUST00261,Discount-Sensitive,51,1.0,350.44,0.0,0.0,0.44
CUST00262,Loyal Customers,9,2.0,1318.44,0.0,0.0,0.12
CUST00263,High-Value Unhappy,25,3.0,1618.39,6.0,0.6666666666666666,0.37333333333333335
CUST00264,Discount-Sensitive,31,2.0,671.0999999999999,1.0,0.0,0.31
CUST00265,Discount-Sensitive,77,1.0,510.24,0.0,0.0,0.38
CUST00266,High-Value Unhappy,158,2.0,2193.5499999999997,2.0,0.5,0.29500000000000004
CUST00267,Discount-Sensitive,29,1.0,441.97,2.0,0.0,0.37
CUST00268,High-Value Unhappy,9,2.0,1517.09,1.0,0.0,0.41500000000000004
CUST00269,High-Value Unhappy,30,3.0,2563.9300000000003,1.0,0.0,0.33
CUST00270,At-Risk,75,2.0,968.72,0.0,0.0,0.24000000000000002
CUST00271,Loyal Customers,32,2.0,1421.17,0.0,0.0,0.19
CUST00272,Champions,12,5.0,3882.03,0.0,0.0,0.20800000000000002
CUST00273,High-Value Unhappy,13,5.0,4433.41,4.0,0.0,0.194
CUST00274,Discount-Sensitive,71,1.0,695.0,0.0,0.0,0.36
CUST00275,Dormant,241,0.0,0.0,1.0,0.0,0.0
CUST00276,Loyal Customers,47,2.0,3495.3,0.0,0.0,0.21500000000000002
CUST00277,About to Churn,2,1.0,304.61,0.0,0.0,0.23
CUST00278,Discount-Sensitive,69,1.0,339.56,2.0,0.0,0.27
CUST00279,High-Value Unhappy,12,3.0,2035.77,1.0,0.0,0.3233333333333333
CUST00280,High-Value Unhappy,10,2.0,1858.49,0.0,0.0,0.2
CUST00281,Loyal Customers,35,2.0,1161.06,0.0,0.0,0.335
CUST00282,Dormant,296,0.0,0.0,1.0,0.0,0.0
CUST00283,High-Value Unhappy,18,3.0,2546.58,4.0,0.0,0.3233333333333333
CUST00284,Dormant,291,0.0,0.0,0.0,0.0,0.0
CUST00285,Loyal Customers,13,2.0,1070.21,0.0,0.0,0.38
CUST00286,Dormant,369,0.0,0.0,1.0,0.0,0.0
CUST00287,At-Risk,69,2.0,2536.41,1.0,0.0,0.185
CUST00288,At-Risk,110,2.0,1096.1,1.0,0.0,0.255
CUST00289,Loyal Customers,5,2.0,811.06,0.0,0.0,0.36
CUST00290,New Customers,9,1.0,251.16,1.0,0.0,0.34
CUST00291,High-Value Unhappy,58,1.0,1708.29,3.0,0.0,0.2
CUST00292,About to Churn,43,1.0,657.91,1.0,1.0,0.08
CUST00293,Dormant,230,0.0,0.0,0.0,0.0,0.0
CUST00294,At-Risk,102,1.0,1714.42,0.0,0.0,0.12
CUST00295,Discount-Sensitive,16,1.0,556.31,0.0,0.0,0.51
CUST00296,Dormant,132,1.0,560.55,0.0,0.0,0.12
CUST00297,Dormant,154,1.0,1130.29,1.0,0.0,0.16
CUST00298,Dormant,201,0.0,0.0,0.0,0.0,0.0
CUST00299,Dormant,343,0.0,0.0,2.0,0.0,0.0
CUST00300,Discount-Sensitive,5,1.0,459.9,0.0,0.0,0.42
CUST00301,Loyal Customers,9,2.0,1279.6,3.0,0.0,0.20500000000000002
CUST00302,High-Value Unhappy,148,2.0,1740.35,3.0,0.5,0.38
CUST00303,High-Value Unhappy,48,2.0,1965.56,2.0,0.0,0.175
CUST00304,High-Value Unhappy,87,2.0,1687.98,1.0,0.0,0.205
CUST00305,Dormant,166,1.0,531.59,0.0,0.0,0.19
CUST00306,High-Value Unhappy,19,3.0,2579.1600000000003,2.0,0.0,0.19000000000000003
CUST00307,Discount-Sensitive,32,1.0,307.42,1.0,1.0,0.5
CUST00308,At-Risk,66,2.0,1535.15,0.0,0.0,0.26
CUST00309,Discount-Sensitive,8,1.0,1014.02,0.0,0.0,0.35
CUST00310,New Customers,22,1.0,578.27,1.0,1.0,0.2
CUST00311,About to Churn,48,1.0,1336.82,0.0,0.0,0.1
CUST00312,About to Churn,64,1.0,486.27,0.0,0.0,0.2
CUST00313,Dormant,162,1.0,769.77,1.0,0.0,0.33
CUST00314,New Customers,16,1.0,560.98,0.0,0.0,0.29
CUST00315,High-Value Unhappy,17,6.0,6768.080000000001,2.0,0.0,0.33
CUST00316,At-Risk,97,2.0,1079.82,1.0,0.5,0.32
CUST00317,At-Risk,100,1.0,1353.24,0.0,0.0,0.19
CUST00318,Loyal Customers,47,2.0,1908.68,1.0,0.0,0.27
CUST00319,Dormant,147,1.0,460.74,0.0,0.0,0.33
CUST00320,Loyal Customers,25,3.0,1395.26,1.0,0.0,0.2966666666666667
CUST00321,At-Risk,116,2.0,1114.17,2.0,0.0,0.31
CUST00322,Champions,4,5.0,3351.86,0.0,0.0,0.384
CUST00323,Loyal Customers,5,2.0,2509.86,0.0,0.0,0.30000000000000004
CUST00324,Dormant,274,0.0,0.0,2.0,0.0,0.0
CUST00325,Loyal Customers,44,3.0,3542.89,0.0,0.0,0.24
CUST00326,Dormant,124,1.0,471.14,1.0,0.0,0.22
CUST00327,Discount-Sensitive,2,1.0,367.29,0.0,0.0,0.41
CUST00328,Dormant,322,0.0,0.0,0.0,0.0,0.0
CUST00329,About to Churn,1,1.0,299.28,0.0,0.0,0.06
CUST00330,At-Risk,74,3.0,1307.8000000000002,1.0,0.0,0.33
CUST00331,Dormant,151,1.0,505.92,2.0,0.0,0.49
CUST00332,High-Value Unhappy,24,2.0,2059.8,2.0,0.5,0.375
CUST00333,About to Churn,75,1.0,870.15,0.0,0.0,0.07
CUST00334,About to Churn,85,1.0,731.49,1.0,1.0,0.07
CUST00335,Dormant,148,2.0,1328.1399999999999,2.0,0.0,0.38
CUST00336,Loyal Customers,29,2.0,1156.25,0.0,0.0,0.135
CUST00337,Loyal Customers,7,2.0,1887.73,1.0,0.0,0.385
CUST00338,Discount-Sensitive,12,1.0,887.38,1.0,1.0,0.27
CUST00339,About to Churn,92,1.0,465.18,1.0,0.0,0.17
CUST00340,High-Value Unhappy,46,3.0,1900.4,1.0,0.3333333333333333,0.23666666666666666
CUST00341,New Customers,19,1.0,790.16,0.0,0.0,0.46
CUST00342,High-Value Unhappy,1,2.0,2309.31,1.0,0.0,0.33499999999999996
CUST00343,About to Churn,94,1.0,410.91,0.0,0.0,0.13
CUST00344,Dormant,189,0.0,0.0,4.0,0.0,0.0
CUST00345,High-Value Unhappy,3,3.0,3946.38,1.0,0.0,0.12666666666666668
CUST00346,Discount-Sensitive,72,1.0,494.2,2.0,0.0,0.34
CUST00347,Dormant,184,0.0,0.0,1.0,0.0,0.0
CUST00348,Champions,1,3.0,2509.74,0.0,0.0,0.25666666666666665
CUST00349,At-Risk,74,3.0,2183.21,0.0,0.0,0.24333333333333332
CUST00350,About to Churn,41,1.0,537.51,0.0,0.0,0.12
CUST00351,High-Value Unhappy,9,3.0,2713.2200000000003,3.0,0.3333333333333333,0.2866666666666667
CUST00352,New Customers,27,1.0,1000.77,0.0,0.0,0.12
CUST00353,At-Risk,118,2.0,753.9200000000001,1.0,0.0,0.215
CUST00354,Loyal Customers,36,2.0,1158.36,1.0,0.0,0.365
CUST00355,Dormant,171,1.0,715.18,2.0,0.0,0.03
CUST00356,High-Value Unhappy,7,4.0,2192.5699999999997,2.0,0.0,0.215
CUST00357,Discount-Sensitive,42,1.0,513.15,1.0,0.0,0.29
CUST00358,High-Value Unhappy,101,2.0,1523.3600000000001,1.0,0.0,0.33499999999999996
CUST00359,Champions,3,3.0,2276.09,0.0,0.0,0.24333333333333332
CUST00360,Discount-Sensitive,2,1.0,1731.67,0.0,0.0,0.33
CUST00361,Dormant,169,1.0,361.04,1.0,1.0,0.12
CUST00362,High-Value Unhappy,23,3.0,1795.3,1.0,0.0,0.27666666666666667
CUST00363,New Customers,27,1.0,413.99,1.0,0.0,0.32
CUST00364,Dormant,359,0.0,0.0,2.0,0.0,0.0
CUST00365,Dormant,158,1.0,1015.06,0.0,0.0,0.21
CUST00366,High-Value Unhappy,92,2.0,3930.92,1.0,0.0,0.235
CUST00367,Dormant,212,0.0,0.0,0.0,0.0,0.0
CUST00368,Discount-Sensitive,55,1.0,348.81,1.0,1.0,0.25
CUST00369,About to Churn,71,1.0,910.05,0.0,0.0,0.16
CUST00370,Dormant,172,1.0,452.14,0.0,0.0,0.42
CUST00371,Dormant,124,1.0,912.11,1.0,0.0,0.07
CUST00372,Discount-Sensitive,56,1.0,431.11,1.0,0.0,0.38
